Fördernehmer_in,eindeutige Nummer des Digitalisats,Analogfilm,3D,Sonstige,Ressourcenadresse,Titel des Digitalisats,Kommentar (optional),Kontextadresse,Kommentar (optional)
Franziskanerkloster Graz,A-Gf_A63_51-013r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23C4-7@format=tif,A-Gf_A63_51-013r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-013r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-013r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-013v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23C5-6@format=tif,A-Gf_A63_51-013v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-013v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-013v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-014r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23C6-5@format=tif,A-Gf_A63_51-014r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-014r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-014r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-014v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23C7-4@format=tif,A-Gf_A63_51-014v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-014v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-014v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-015r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23C8-3@format=tif,A-Gf_A63_51-015r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-015r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-015r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-015v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23C9-2@format=tif,A-Gf_A63_51-015v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-015v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-015v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-016r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23CA-1@format=tif,A-Gf_A63_51-016r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-016r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-016r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-016v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23CB-0@format=tif,A-Gf_A63_51-016v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-016v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-016v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-017r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23CC-F@format=tif,A-Gf_A63_51-017r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-017r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-017r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-017v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23CD-E@format=tif,A-Gf_A63_51-017v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-017v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-017v.tif,
